year,side_a,side_b,type_of_violence,best,deaths_civilians,latitude,longitude
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.318,45.6982
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.318,45.6982
2010,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.4015,45.4384
2011,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,2,0,43.318,45.6982
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.2917,45.8724
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.1627,45.201
2003,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,3,0,43.318,45.6982
2000,Government of Russia (Soviet Union),Civilians,3,0,0,42.981,46.2256
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,0,0,43.2911,45.3014
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.131672,45.300046
1995,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,43.3519,46.1035
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,2,0,43.318,45.6982
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.318,45.6982
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,5,0,43.318,45.6982
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,2,0,43.5287,45.7798
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.318,45.6982
2001,Government of Russia (Soviet Union),Civilians,3,0,0,43.2917,45.8724
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.318,45.6982
2001,Government of Russia (Soviet Union),Civilians,3,5,5,43.0802,46.2202
2001,Government of Russia (Soviet Union),Civilians,3,1,1,43.123,45.7415
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.2227,46.2526
2005,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,43.8138,46.5906
2005,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,1,0,43.3058,45.7477
2005,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,7,0,43.3058,45.7477
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.0952,45.3586
2005,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,1,0,43.0318,45.2623
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,3,0,43.318,45.6982
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,42.9526,46.0671
2005,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,43.0236,46.3603
2006,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,7,3,43.318,45.6982
2006,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,43.3058,45.7477
2006,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,1,0,42.6528,45.8503
2007,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,42.9526,46.0671
1995,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,43.3058,45.7477
2011,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.1488,45.901
2011,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,3,0,43.1264,45.3282
2011,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,0,0,43.3806,45.8286
2005,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,1,0,43.318,45.6982
2002,Government of Russia (Soviet Union),Civilians,3,0,0,43.1872,45.2864
2003,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,4,0,43.318,45.6982
2004,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,4,0,42.9059,46.1377
2000,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,16,0,43.3058,45.7477
2004,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,3,0,43.1117,45.9901
2001,Government of Russia (Soviet Union),Civilians,3,1,1,43.3058,45.7477
2004,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,1,0,43.1618,46.0078
2001,Government of Russia (Soviet Union),Civilians,3,1,1,43.3058,45.7477
1995,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,43.3058,45.7477
1994,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,15,15,43.318,45.6982
2004,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,42.9809,46.3108
1995,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,6,6,43.2917,45.8724
2002,Government of Russia (Soviet Union),Civilians,3,0,0,43.318,45.6982
2004,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,3,0,42.9059,46.1377
1995,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,20,0,43.2386,45.1714
2002,Government of Russia (Soviet Union),Civilians,3,3,3,43.318,45.6982
2004,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,1,0,43.318,45.6982
2004,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,42.9624,45.9068
1994,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,27,0,43.3058,45.7477
2002,Government of Russia (Soviet Union),Civilians,3,10,10,43.2425,46.0019
1996,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,5,0,43.3058,45.7477
2002,Government of Russia (Soviet Union),Civilians,3,0,0,43.1228,45.7421
2001,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,3,0,43.318,45.6982
2002,Government of Russia (Soviet Union),Civilians,3,1,1,43.2917,45.8724
2004,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.3058,45.7477
1999,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,541,0,43.3058,45.7477
2001,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,43.318,45.6982
2001,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,42.9526,46.0671
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.3058,45.7477
2000,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,102,0,43.2917,45.8724
1996,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,5,0,42.8625,45.756
1996,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,5,0,42.8625,45.756
1996,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,5,0,42.7077,45.4501
2004,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,1,0,43.2953,45.8263
2015,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,2,0,43.666,45.3841
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,43.3058,45.7477
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,3,0,43.105775,46.189971
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,3,0,43.3058,45.7477
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,1,0,43.3058,45.7477
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.1871,45.9202
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.221,46.1949
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.221,46.1949
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,7,0,43.3058,45.7477
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.095171,45.358553
1994,Chechen Republic of Ichkeria,Provisional Council of the Chechen Republic,2,2,0,43.318,45.6982
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,1,0,43.318,45.6982
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,43.3058,45.7477
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.318,45.6982
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,43.3058,45.7477
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,42.0236,46.3603
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,3,0,43.1276,45.5406
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,1,0,43.0211,46.0553
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.2503,45.9085
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,3,0,43.2286,45.7363
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.1276,45.5406
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,4,0,43.4,45.716667
1989,Meskhetian Turk,Uzbek,2,1,0,43.4,45.716667
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.318,45.6982
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,42.9526,46.0671
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,1,0,43.3058,45.7477
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,6,0,43.1336,45.7757
2013,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,0,0,43.4,45.716667
2013,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.1627,45.201
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,1,0,43.318,45.6982
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,3,0,43.202,46.0879
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.0318,45.2623
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,43.2911,45.3014
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,6,0,43.318,45.6982
2013,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.4,45.716667
2008,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,3,0,43.3058,45.7477
2007,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,1,0,43.318,45.6982
2011,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,42.9526,46.0671
2011,Government of Russia (Soviet Union),Civilians,3,0,0,43.214453,46.043289
2000,Chechen Republic of Ichkeria,Civilians,3,2,2,43.3058,45.7477
1995,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.2624,45.5348
2001,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,6,0,43.318,45.6982
2000,Chechen Republic of Ichkeria,Civilians,3,1,1,43.3058,45.7477
2001,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,30,0,43.2917,45.8724
2001,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,42.9595,46.1134
2009,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,43.2917,45.8724
2005,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,1,0,43.318,45.6982
2005,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,43.3058,45.7477
2005,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,6,0,43.0236,46.3603
2005,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,43.318,45.6982
2010,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,1,0,42.7676,45.8595
2010,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,2,0,43.134,46.1959
2010,Government of Russia (Soviet Union),Forces of the Caucasus Emirate,1,0,0,42.9809,46.3108
2007,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,1,1,42.8415,45.7043
1996,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,4,0,43.3058,45.7477
1995,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,43.3058,45.7477
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.3058,45.7477
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.105775,46.189971
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,43.5072,46.334
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.4,45.716667
2001,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,14,0,43.3058,45.7477
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,42.956,46.1268
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,6,0,43.2425,46.0019
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,6,0,43.2917,45.8724
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,4,0,43.318,45.6982
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,10,10,43.2425,46.0019
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,15,0,42.9526,46.0671
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.013081,46.107622
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,9,0,42.956,46.1268
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,42.9595,46.1134
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,1,1,43.1488,45.901
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.3058,45.7477
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,8,0,43.2503,45.9085
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,18,0,43.3058,45.7477
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,4,0,43.318,45.6982
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.0411,46.1602
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,42.9595,46.1134
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.318,45.6982
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.6685,46.0847
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.2917,45.8724
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.2917,45.8724
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.3058,45.7477
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.2917,45.8724
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,42.9595,46.1134
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,4,0,43.177,45.8938
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,4,0,42.9526,46.0671
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,4,0,42.0236,46.3603
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,4,0,43.318,45.6982
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.318,45.6982
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.0397,45.7293
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,4,0,43.1276,45.5406
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.318,45.6982
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,3,0,43.0802,46.2202
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.318,45.6982
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,43.2001,45.7874
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,3,0,43.318,45.6982
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,4,0,43.2953,45.8263
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.6685,41.97
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,43.2425,46.0019
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,8,0,43.2425,46.0019
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,43.318,45.6982
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.221,46.1949
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.6685,46.0847
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,4,0,43.2624,45.5348
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,3,3,42.8625,45.756
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.318,45.6982
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,43.318,45.6982
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,3,0,43.1859,46.15
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,1,0,43.318,45.6982
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,4,0,43.3058,45.7477
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,44,0,43.3058,45.7477
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.221,46.1949
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,4,4,42.0236,46.3603
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,1,0,43.3519,46.1035
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.318,45.6982
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,43.1488,45.901
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.3058,45.7477
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,42.0236,46.3603
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.318,45.6982
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.318,45.6982
1994,Chechen Republic of Ichkeria,Provisional Council of the Chechen Republic,2,24,0,43.318,45.6982
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,9,0,43.296892,45.770809
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,1,0,43.095171,45.358553
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,43.318,45.6982
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,1,0,43.742174,46.47674
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,43.3058,45.7477
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,4,0,43.318,45.6982
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,1,0,43.1488,45.901
